offsize,cousize,num_procs,epsilon,interval,delta,alpha,num_events,avg_send_time,avg_recv_time,system_clock_time
0.784253,4.00004,32,100,50,8,0.0001,92,1444.57,419.855,3500
11.2101,4.00004,32,100,50,8,0.0002,325,1179.69,624.231,1000
29.1301,4.00004,32,100,50,8,0.0004,931,815.038,465.27,1300
38.115,4.00004,32,100,50,8,0.0008,2604,685.1,382.412,800
39.0284,4.00004,32,100,50,8,0.0016,5124,632.397,369.692,800
39.4135,4.00004,32,100,50,8,0.0032,10036,552.601,334.894,800
0.706093,4.00004,32,100,50,16,0.0001,61,1760.66,459.29,1000
9.18675,4.00004,32,100,50,16,0.0002,274,997.08,471.265,1000
34.3957,4.00004,32,100,50,16,0.0004,1001,797.502,490.037,800
36.1495,4.00004,32,100,50,16,0.0008,2603,653.016,367.915,900
39.1609,4.00004,32,100,50,16,0.0016,5154,603.066,346.084,800
39.3402,4.00004,32,100,50,16,0.0032,10273,550.881,339.455,800
1.44389,4.00004,32,100,50,32,0.0001,99,1303.03,473.232,1000
11.5614,4.00004,32,100,50,32,0.0002,240,1106.25,507.694,1400
28.0848,4.00004,32,100,50,32,0.0004,974,740.144,380.368,800
35.6236,4.00004,32,100,50,32,0.0008,2512,692.357,379.147,900
35.9258,4.00004,32,100,50,32,0.0016,5081,597.678,365.319,900
39.4885,4.00004,32,100,50,32,0.0032,10211,544.648,323.334,800
0.654419,4.00004,32,100,50,64,0.0001,83,1473.49,510.442,900
12.8458,4.00004,32,100,50,64,0.0002,265,1016.6,523.321,900
30.6553,4.00004,32,100,50,64,0.0004,950,811.053,549.796,1000
35.8921,4.00004,32,100,50,64,0.0008,2530,641.7,391.582,1000
37.0414,4.00004,32,100,50,64,0.0016,5108,622.161,343.412,900
37.4887,4.00004,32,100,50,64,0.0032,10211,569.65,319.966,900
1.50487,4.00004,32,100,60,1,0.0001,115,1486.96,510.29,1000
12.4266,4.00004,32,100,60,1,0.0002,281,1130.96,585.154,800
32.1515,4.00004,32,100,60,1,0.0004,1122,858.2,496.894,900
