offsize,cousize,num_procs,epsilon,interval,delta,alpha,num_events,offsetscount,counterscount,maxOffset,maxCounter
31.0211,0.170491,32,100,50,32,0.016,5160,9926750,54557,25,5
31.3485,0.259594,32,100,50,32,0.032,10126,10031534,83070,14,6
16.8847,0.0222219,32,100,50,64,0.001,332,5403114,7111,99,1
26.0054,0.0221125,32,100,50,64,0.002,661,8321713,7076,99,2
28.2685,0.0486906,32,100,50,64,0.004,1274,9045912,15581,98,3
29.9129,0.0907656,32,100,50,64,0.008,2601,9572113,29045,42,3
30.6329,0.165716,32,100,50,64,0.016,5194,9802522,53029,27,4
31.1529,0.262647,32,100,50,64,0.032,10045,9968924,84047,16,6
18.2157,0.0547937,32,100,60,1,0.001,305,5829030,17534,99,1
26.3719,0.0472969,32,100,60,1,0.002,648,8438995,15135,93,2
28.7245,0.0807281,32,100,60,1,0.004,1231,9191834,25833,59,2
30.0137,0.128737,32,100,60,1,0.008,2481,9604392,41196,39,3
31.1784,0.216547,32,100,60,1,0.016,5067,9977091,69295,18,5
31.6133,0.339162,32,100,60,1,0.032,10284,10116254,108532,8,8
20.2915,0.0557844,32,100,60,2,0.001,333,6493286,17851,99,2
24.4028,0.0442469,32,100,60,2,0.002,600,7808903,14159,96,1
28.5015,0.0641375,32,100,60,2,0.004,1252,9120486,20524,63,2
30.1858,0.144916,32,100,60,2,0.008,2574,9659453,46373,39,3
31.1761,0.214994,32,100,60,2,0.016,5252,9976338,68798,19,5
31.6198,0.331328,32,100,60,2,0.032,10181,10118336,106025,9,8
18.9316,0.0236906,32,100,60,4,0.001,336,6058114,7581,99,1
25.2828,0.0589062,32,100,60,4,0.002,631,8090484,18850,97,2
28.9425,0.0771594,32,100,60,4,0.004,1262,9261615,24691,57,3
30.6104,0.128191,32,100,60,4,0.008,2528,9795319,41021,32,3
31.1901,0.205969,32,100,60,4,0.016,5148,9980840,65910,17,5
31.632,0.319372,32,100,60,4,0.032,10277,10122224,102199,9,7
17.7418,0.0394562,32,100,60,8,0.001,318,5677387,12626,99,1
26.5388,0.0338062,32,100,60,8,0.002,685,8492423,10818,98,2
29.2491,0.0789281,32,100,60,8,0.004,1280,9359710,25257,62,2
30.3254,0.127772,32,100,60,8,0.008,2600,9704138,40887,33,3
31.2177,0.193837,32,100,60,8,0.016,5080,9989665,62028,18,5
31.4864,0.304097,32,100,60,8,0.032,10420,10075634,97311,10,6
18.363,0.0457156,32,100,60,16,0.001,339,5876158,14629,99,1
26.1769,0.0394,32,100,60,16,0.002,634,8376608,12608,99,2
28.9855,0.0715125,32,100,60,16,0.004,1282,9275353,22884,59,2
30.2557,0.118259,32,100,60,16,0.008,2466,9681810,37843,34,3
31.0721,0.187247,32,100,60,16,0.016,5166,9943062,59919,18,5
31.4698,0.285219,32,100,60,16,0.032,10016,10070332,91270,11,7
19.27,0.0268906,32,100,60,32,0.001,321,6166415,8605,99,2
24.9855,0.0357,32,100,60,32,0.002,609,7995353,11424,98,2
